source,target,rate,type
H0|Normal,H0|Compromised,0.04082199452025513,internal
H0|Compromised,H0|Down,0.08338160893905106,internal
H0|Down,H0|Mitigated,0.06187540371808747,internal
H0|Mitigated,H0|Recovered,0.06187540371808747,internal
H0|Compromised,H1|Compromised,0.004,spatial
H0|Compromised,H2|Compromised,0.004,spatial
H0|Compromised,H3|Compromised,0.004,spatial
H0|Compromised,H4|Compromised,0.004,spatial
H0|Compromised,H5|Compromised,0.004,spatial
H0|Compromised,H6|Compromised,0.004,spatial
H0|Compromised,H7|Compromised,0.004,spatial
H0|Compromised,H8|Compromised,0.004,spatial
H0|Compromised,H9|Compromised,0.004,spatial
H0|Compromised,H10|Compromised,0.004,spatial
H0|Compromised,H11|Compromised,0.004,spatial
H0|Compromised,H12|Compromised,0.004,spatial
H0|Compromised,H13|Compromised,0.004,spatial
H0|Compromised,H14|Compromised,0.004,spatial
H0|Compromised,H15|Compromised,0.004,spatial
H0|Compromised,H16|Compromised,0.004,spatial
H0|Compromised,H17|Compromised,0.004,spatial
H1|Normal,H1|Compromised,0.04082199452025513,internal
H1|Compromised,H1|Down,0.08338160893905106,internal
H1|Down,H1|Mitigated,0.06187540371808747,internal
H1|Mitigated,H1|Recovered,0.06187540371808747,internal
H1|Compromised,H0|Compromised,0.004,spatial
H1|Compromised,H2|Compromised,0.004,spatial
H1|Compromised,H3|Compromised,0.004,spatial
H1|Compromised,H4|Compromised,0.004,spatial
H1|Compromised,H5|Compromised,0.004,spatial
H1|Compromised,H6|Compromised,0.004,spatial
H1|Compromised,H7|Compromised,0.004,spatial
H1|Compromised,H8|Compromised,0.004,spatial
H1|Compromised,H9|Compromised,0.004,spatial
H1|Compromised,H10|Compromised,0.004,spatial
H1|Compromised,H11|Compromised,0.004,spatial
H1|Compromised,H12|Compromised,0.004,spatial
H1|Compromised,H13|Compromised,0.004,spatial
H1|Compromised,H14|Compromised,0.004,spatial
H1|Compromised,H15|Compromised,0.004,spatial
H1|Compromised,H16|Compromised,0.004,spatial
H1|Compromised,H17|Compromised,0.004,spatial
H2|Normal,H2|Compromised,0.04082199452025513,internal
H2|Compromised,H2|Down,0.08338160893905106,internal
H2|Down,H2|Mitigated,0.06187540371808747,internal
H2|Mitigated,H2|Recovered,0.06187540371808747,internal
H2|Compromised,H0|Compromised,0.004,spatial
H2|Compromised,H1|Compromised,0.004,spatial
H2|Compromised,H3|Compromised,0.004,spatial
H2|Compromised,H4|Compromised,0.004,spatial
H2|Compromised,H5|Compromised,0.004,spatial
H2|Compromised,H6|Compromised,0.004,spatial
H2|Compromised,H7|Compromised,0.004,spatial
H2|Compromised,H8|Compromised,0.004,spatial
H2|Compromised,H9|Compromised,0.004,spatial
H2|Compromised,H10|Compromised,0.004,spatial
H2|Compromised,H11|Compromised,0.004,spatial
H2|Compromised,H12|Compromised,0.004,spatial
H2|Compromised,H13|Compromised,0.004,spatial
H2|Compromised,H14|Compromised,0.004,spatial
H2|Compromised,H15|Compromised,0.004,spatial
H2|Compromised,H16|Compromised,0.004,spatial
H2|Compromised,H17|Compromised,0.004,spatial
H3|Normal,H3|Compromised,0.04082199452025513,internal
H3|Compromised,H3|Down,0.08338160893905106,internal
H3|Down,H3|Mitigated,0.06187540371808747,internal
H3|Mitigated,H3|Recovered,0.06187540371808747,internal
H3|Compromised,H0|Compromised,0.004,spatial
H3|Compromised,H1|Compromised,0.004,spatial
H3|Compromised,H2|Compromised,0.004,spatial
H3|Compromised,H4|Compromised,0.004,spatial
H3|Compromised,H5|Compromised,0.004,spatial
H3|Compromised,H6|Compromised,0.004,spatial
H3|Compromised,H7|Compromised,0.004,spatial
H3|Compromised,H8|Compromised,0.004,spatial
H3|Compromised,H9|Compromised,0.004,spatial
H3|Compromised,H10|Compromised,0.004,spatial
H3|Compromised,H11|Compromised,0.004,spatial
H3|Compromised,H12|Compromised,0.004,spatial
H3|Compromised,H13|Compromised,0.004,spatial
H3|Compromised,H14|Compromised,0.004,spatial
H3|Compromised,H15|Compromised,0.004,spatial
H3|Compromised,H16|Compromised,0.004,spatial
H3|Compromised,H17|Compromised,0.004,spatial
H4|Normal,H4|Compromised,0.04082199452025513,internal
H4|Compromised,H4|Down,0.08338160893905106,internal
H4|Down,H4|Mitigated,0.06187540371808747,internal
H4|Mitigated,H4|Recovered,0.06187540371808747,internal
H4|Compromised,H0|Compromised,0.004,spatial
H4|Compromised,H1|Compromised,0.004,spatial
H4|Compromised,H2|Compromised,0.004,spatial
H4|Compromised,H3|Compromised,0.004,spatial
H4|Compromised,H5|Compromised,0.004,spatial
H4|Compromised,H6|Compromised,0.004,spatial
H4|Compromised,H7|Compromised,0.004,spatial
H4|Compromised,H8|Compromised,0.004,spatial
H4|Compromised,H9|Compromised,0.004,spatial
H4|Compromised,H10|Compromised,0.004,spatial
H4|Compromised,H11|Compromised,0.004,spatial
H4|Compromised,H12|Compromised,0.004,spatial
H4|Compromised,H13|Compromised,0.004,spatial
H4|Compromised,H14|Compromised,0.004,spatial
H4|Compromised,H15|Compromised,0.004,spatial
H4|Compromised,H16|Compromised,0.004,spatial
H4|Compromised,H17|Compromised,0.004,spatial
H5|Normal,H5|Compromised,0.04082199452025513,internal
H5|Compromised,H5|Down,0.08338160893905106,internal
H5|Down,H5|Mitigated,0.06187540371808747,internal
H5|Mitigated,H5|Recovered,0.06187540371808747,internal
H5|Compromised,H0|Compromised,0.004,spatial
H5|Compromised,H1|Compromised,0.004,spatial
H5|Compromised,H2|Compromised,0.004,spatial
H5|Compromised,H3|Compromised,0.004,spatial
H5|Compromised,H4|Compromised,0.004,spatial
H5|Compromised,H6|Compromised,0.004,spatial
H5|Compromised,H7|Compromised,0.004,spatial
H5|Compromised,H8|Compromised,0.004,spatial
H5|Compromised,H9|Compromised,0.004,spatial
H5|Compromised,H10|Compromised,0.004,spatial
H5|Compromised,H11|Compromised,0.004,spatial
H5|Compromised,H12|Compromised,0.004,spatial
H5|Compromised,H13|Compromised,0.004,spatial
H5|Compromised,H14|Compromised,0.004,spatial
H5|Compromised,H15|Compromised,0.004,spatial
H5|Compromised,H16|Compromised,0.004,spatial
H5|Compromised,H17|Compromised,0.004,spatial
H6|Normal,H6|Compromised,0.04082199452025513,internal
H6|Compromised,H6|Down,0.08338160893905106,internal
H6|Down,H6|Mitigated,0.06187540371808747,internal
H6|Mitigated,H6|Recovered,0.06187540371808747,internal
H6|Compromised,H0|Compromised,0.004,spatial
H6|Compromised,H1|Compromised,0.004,spatial
H6|Compromised,H2|Compromised,0.004,spatial
H6|Compromised,H3|Compromised,0.004,spatial
H6|Compromised,H4|Compromised,0.004,spatial
H6|Compromised,H5|Compromised,0.004,spatial
H6|Compromised,H7|Compromised,0.004,spatial
H6|Compromised,H8|Compromised,0.004,spatial
H6|Compromised,H9|Compromised,0.004,spatial
H6|Compromised,H10|Compromised,0.004,spatial
H6|Compromised,H11|Compromised,0.004,spatial
H6|Compromised,H12|Compromised,0.004,spatial
H6|Compromised,H13|Compromised,0.004,spatial
H6|Compromised,H14|Compromised,0.004,spatial
H6|Compromised,H15|Compromised,0.004,spatial
H6|Compromised,H16|Compromised,0.004,spatial
H6|Compromised,H17|Compromised,0.004,spatial
H7|Normal,H7|Compromised,0.04082199452025513,internal
H7|Compromised,H7|Down,0.08338160893905106,internal
H7|Down,H7|Mitigated,0.06187540371808747,internal
H7|Mitigated,H7|Recovered,0.06187540371808747,internal
H7|Compromised,H0|Compromised,0.004,spatial
H7|Compromised,H1|Compromised,0.004,spatial
